IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
2.64500,1.00132,1.06816,6.20325
2.65500,1.00102,1.06816,6.21511
2.66600,1.00011,1.06816,6.21707
2.67600,1.00041,1.06816,6.22318
2.68700,1.00223,1.06816,6.22966
2.69700,1.00254,1.06816,6.24112
2.70900,1.00041,1.06816,6.24139
2.71900,0.99950,1.06816,6.24779
2.72900,1.00163,1.06816,6.25482
2.73900,1.00193,1.06816,6.26928
2.75200,1.00193,1.06816,6.27079
2.76200,1.00041,1.06816,6.27497
2.77200,0.99920,1.06816,6.28251
2.78200,1.00102,1.06816,6.29853
2.79500,1.00254,1.06816,6.30047
2.80500,1.00193,1.06816,6.30548
2.81600,0.99859,1.06816,6.31198
2.82600,1.00102,1.06816,6.32911
2.84400,1.00193,1.06816,6.33055
2.85400,1.00132,1.06816,6.39177
2.94500,1.00102,1.06816,6.40575
2.96400,1.00193,1.06816,6.40615
2.98600,1.00223,1.06816,6.41961
3.00500,1.00254,1.06816,6.42856
3.01500,1.00223,1.06816,6.43297
3.02500,1.00163,1.06816,6.43847
3.03500,1.00163,1.06816,6.45758
3.05600,1.00193,1.06816,6.46041
3.06600,1.00193,1.06816,6.46697
3.07600,1.00163,1.06816,6.48077
3.08900,1.00193,1.06816,6.48173
3.10000,1.00102,1.06816,6.48874
3.11100,1.00132,1.06816,6.49699
3.12100,1.00072,1.06816,6.51193
3.13300,1.00223,1.06816,6.51337
3.14300,1.00132,1.06816,6.51899
3.15400,1.00254,1.06816,6.52505
3.16400,1.00223,1.06816,6.53569
3.17700,1.00193,1.06816,6.53630
3.18700,1.00163,1.06816,6.54226
3.19700,1.00102,1.06816,6.54953
3.20700,1.00193,1.06816,6.56308
3.21700,1.00163,1.06816,6.56500
3.22800,1.00132,1.06816,6.57200
3.23900,1.00223,1.06816,6.57885
3.24900,1.00193,1.06816,6.58984
3.26000,1.00223,1.06816,6.59057
3.27100,1.00132,1.06816,6.59666
3.28100,1.00163,1.06816,6.60329
3.29100,1.00163,1.06816,6.61753
3.30300,1.00223,1.06816,6.61888
3.31300,1.00132,1.06816,6.62497
3.32400,1.00102,1.06816,6.63249
3.33400,1.00132,1.06816,6.64538
3.34500,1.00163,1.06816,6.64791
3.35500,1.00254,1.06816,6.65315
3.36500,1.00163,1.06816,6.65885
3.37500,1.00102,1.06816,6.67330
3.39100,1.00072,1.06816,6.67628
3.40100,1.00223,1.06816,6.68262
3.41200,1.00163,1.06816,6.69086
3.42700,1.00193,1.06816,6.70034
3.43800,1.00223,1.06816,6.70405
3.44900,1.00193,1.06816,6.70978
3.45900,1.00223,1.06816,6.72227
3.47000,1.00223,1.06816,6.72272
3.48100,1.00132,1.06816,6.73032
3.49100,1.00284,1.06816,6.73580
3.50100,1.00314,1.06816,6.74684
3.51200,1.00254,1.06816,6.74714
3.52200,1.00163,1.06816,6.75264
3.53200,1.00132,1.06816,6.75977
3.54200,1.00163,1.06816,6.77556
3.55400,1.00102,1.06816,6.77965
3.56500,1.00163,1.06816,6.78739
3.57500,1.00314,1.06816,6.79267
3.58500,1.00223,1.06816,6.80663
3.60300,1.00193,1.06816,6.80674
3.61400,1.00254,1.06816,6.81196
3.62400,1.00254,1.06816,6.82532
3.63700,1.00223,1.06816,6.82731
3.64700,1.00223,1.06816,6.83280
3.65700,1.00223,1.06816,6.83901
3.66700,1.00314,1.06816,6.85247
3.68000,1.00314,1.06816,6.85250
3.69000,1.00193,1.06816,6.85849
3.70000,1.00223,1.06816,6.86435
3.71000,1.00102,1.06816,6.88012
3.72400,1.00284,1.06816,6.88372
3.73400,1.00314,1.06816,6.88886
3.74400,1.00254,1.06816,6.89391
3.75400,1.00223,1.06816,6.90615
3.76700,1.00163,1.06816,6.90783
3.77800,1.00254,1.06816,6.91546
3.78800,1.00284,1.06816,6.92401
3.81000,1.00254,1.06816,6.93686
3.82000,1.00193,1.06816,6.94162
3.83000,1.00345,1.06816,6.94833
3.85500,1.00345,1.06816,6.96209
3.86600,1.00132,1.06816,6.96931
3.87700,1.00163,1.06816,6.98577
3.89300,1.00405,1.06816,6.98671
3.90300,1.00436,1.06816,6.99164
3.91400,1.00284,1.06816,6.99835
3.93100,1.00223,1.06816,7.00659
3.94100,1.00466,1.06816,7.01027
3.95100,1.00405,1.06816,7.01568
3.96100,1.00132,1.06816,7.03165
3.97400,1.00072,1.06816,7.03573
3.98400,1.00193,1.06816,7.04501
3.99400,1.00466,1.06816,7.05211
4.00400,1.00284,1.06816,7.06696
4.02000,1.00314,1.06816,7.06485
4.03000,1.00284,1.06816,7.06753
4.04000,1.00345,1.06816,7.07524
4.05900,1.00284,1.06816,7.08797
4.07000,1.00284,1.06816,7.09378
4.08000,1.00405,1.06816,7.09910
4.09000,1.00345,1.06816,7.10991
4.10000,1.00284,1.06816,7.11135
4.11000,1.00254,1.06816,7.11730
4.12100,1.00314,1.06816,7.12486
4.13100,1.00405,1.06816,7.13693
4.14200,1.00375,1.06816,7.13767
